Nb,Name,Label,Type,AtCenter,IntDen,Min,Max,Mean,,Nuc
0,obj1-val1,1,0,4095.0,1595645.0,1153.0,4095.0,2732.2688356164385,,Nuc1
1,obj2-val2,2,0,4095.0,1034553.0,1157.0,4095.0,2504.9709443099273,,Nuc1
2,obj3-val3,3,0,4095.0,1663971.0,1159.0,4095.0,2829.8826530612246,,Nuc1
3,obj4-val4,4,0,4095.0,1403279.0,1153.0,4095.0,2432.0259965337955,,Nuc1
4,obj5-val5,5,0,4095.0,774141.0,1180.0,4095.0,2563.380794701987,,Nuc1
5,obj6-val6,6,0,1201.0,4827.0,1201.0,1224.0,1206.75,,Nuc1
6,obj7-val7,7,0,1152.0,17904.0,1152.0,1522.0,1278.857142857143,,Nuc1
7,obj8-val8,8,0,1167.0,1167.0,1167.0,1167.0,1167.0,,Nuc1
8,obj9-val9,9,0,1221.0,9510.0,1190.0,1450.0,1358.5714285714287,,Nuc1
9,obj10-val10,10,0,1232.0,6410.0,1232.0,1348.0,1282.0,,Nuc1
10,obj11-val11,11,0,1427.0,1427.0,1427.0,1427.0,1427.0,,Nuc1
11,obj12-val12,12,0,1210.0,1210.0,1210.0,1210.0,1210.0,,Nuc1
12,obj13-val13,13,0,1409.0,7181.0,1409.0,1477.0,1436.2,,Nuc1
13,obj14-val14,14,0,4095.0,2386585.0,1166.0,4095.0,2861.6127098321344,,Nuc1
14,obj15-val15,15,0,1588.0,57005.0,1156.0,1922.0,1425.125,,Nuc1
15,obj16-val16,16,0,4095.0,1626473.0,1175.0,4095.0,2756.733898305085,,Nuc1
16,obj17-val17,17,0,4095.0,619988.0,1153.0,4095.0,2431.3254901960786,,Nuc1
17,obj18-val18,18,0,1601.0,10749.0,1419.0,1730.0,1535.5714285714287,,Nuc1
18,obj19-val19,19,0,1278.0,1278.0,1278.0,1278.0,1278.0,,Nuc1
19,obj20-val20,20,0,1327.0,3812.0,1158.0,1327.0,1270.6666666666667,,Nuc1
20,obj21-val21,21,0,1654.0,19387.0,1183.0,1799.0,1384.7857142857142,,Nuc1
21,obj22-val22,22,0,1289.0,11645.0,1170.0,1505.0,1293.888888888889,,Nuc1
22,obj23-val23,23,0,1544.0,21227.0,1423.0,1906.0,1632.8461538461538,,Nuc1
23,obj24-val24,24,0,1340.0,7640.0,1222.0,1340.0,1273.3333333333333,,Nuc1
24,obj25-val25,25,0,1677.0,16610.0,1424.0,1928.0,1661.0,,Nuc1
25,obj26-val26,26,0,1189.0,1189.0,1189.0,1189.0,1189.0,,Nuc1
