Nb,Name,Label,Type,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),,Nuc
0,obj1-val1,1,0,1.3683428352,584,10.333704960000004,590.0,389.6244333333334,,Nuc1
1,obj2-val2,2,0,0.9676808064000001,413,8.387930880000031,482.0,322.2095666666667,,Nuc1
2,obj3-val3,3,0,1.3777150464,588,9.848252160000007,558.0,369.1146666666666,,Nuc1
3,obj4-val4,4,0,1.3519414656,577,9.557310720000016,542.0,364.2650333333333,,Nuc1
4,obj5-val5,5,0,0.7076019456,302,6.450577920000028,368.0,244.22663333333335,,Nuc1
5,obj6-val6,6,0,0.0093722112,4,0.33634943999999994,18.0,12.0,,Nuc1
6,obj7-val7,7,0,0.03280273920000001,14,0.8700172799999996,50.0,32.11216666666667,,Nuc1
7,obj8-val8,8,0,0.0023430528,1,0.11211648,6.0,0.0,,Nuc1
8,obj9-val9,9,0,0.016401369600000004,7,0.5151743999999999,28.0,18.26213333333333,,Nuc1
9,obj10-val10,10,0,0.011715264,5,0.38175743999999995,20.0,12.921233333333333,,Nuc1
10,obj11-val11,11,0,0.0023430528,1,0.11211648,6.0,0.0,,Nuc1
11,obj12-val12,12,0,0.0023430528,1,0.11211648,6.0,0.0,,Nuc1
12,obj13-val13,13,0,0.011715264,5,0.38175743999999995,20.0,12.921233333333333,,Nuc1
13,obj14-val14,14,0,1.9541060352,834,12.722330879999959,726.0,482.32259999999997,,Nuc1
14,obj15-val15,15,0,0.093722112,40,1.5825100799999996,92.0,59.55376666666667,,Nuc1
15,obj16-val16,16,0,1.3824011520000001,590,10.381920000000003,590.0,391.24036666666666,,Nuc1
16,obj17-val17,17,0,0.597478464,255,5.522273280000022,308.0,202.3524666666667,,Nuc1
17,obj18-val18,18,0,0.016401369600000004,7,0.5151743999999999,28.0,18.254566666666665,,Nuc1
18,obj19-val19,19,0,0.0023430528,1,0.11211648,6.0,0.0,,Nuc1
19,obj20-val20,20,0,0.007029158400000001,3,0.29094143999999994,16.0,6.666666666666667,,Nuc1
20,obj21-val21,21,0,0.03280273920000001,14,0.8969318399999994,48.0,31.00616666666667,,Nuc1
21,obj22-val22,22,0,0.021087475199999997,9,0.5577753599999998,32.0,21.148566666666664,,Nuc1
22,obj23-val23,23,0,0.030459686399999998,13,0.7152998399999997,40.0,24.8562,,Nuc1
23,obj24-val24,24,0,0.014058316800000002,6,0.4484659199999999,24.0,15.175799999999999,,Nuc1
24,obj25-val25,25,0,0.023430528,10,0.6513983999999997,34.0,23.121333333333332,,Nuc1
25,obj26-val26,26,0,0.0023430528,1,0.11211648,6.0,0.0,,Nuc1
